order_time,original_product_id,age,price,age_range,prefecture,area,tab,big_category,middle_category,color,favorite,review
2015/08/05 0:00:00,500965,24,1371,20歳-24歳,静岡県,中部,レディース,ワンピース・ドレス,ワンピース,,4539,3.79
2016/07/06 0:00:00,230779,49,1785,45歳-49歳,福島県,東北,レディース,パンツ,パンツ全般,M(ロング丈)(001),113618,4.26
2014/08/03 0:00:00,474471,30,3505,30歳-34歳,神奈川県,関東,レディース,ワンピース・ドレス,ワンピース,半袖-NAVY,6214,3.87
2012/10/20 0:00:00,121729,31,2362,30歳-34歳,岩手県,東北,レディース,トップス,ニット・セーター,ブラックベージュ,28,5
2016/12/26 0:00:00,1392482,45,1633,45歳-49歳,愛知県,中部,メンズ,ルームウェア・パジャマ,ルームウェア,チャコール,27,0
2012/12/16 0:00:00,113856,22,2839,20歳-24歳,宮城県,東北,不明,,,22.0cm,2710,4.32
2014/01/20 0:00:00,345385,26,2430,25歳-29歳,福岡県,九州,レディース,バッグ,ショルダーバッグ,ブラック,6239,3.5
2015/09/23 0:00:00,780958,32,174,30歳-34歳,茨城県,関東,レディース,アクセサリー,その他アクセサリー,F,18477,4.13
2013/10/25 0:00:00,324664,24,2553,20歳-24歳,福岡県,九州,レディース,シューズ,ムートンブーツ,M,453,4.18
2016/06/18 0:00:00,748897,20,398,20歳-24歳,千葉県,関東,レディース,バッグ,ポーチ,ピンク,4245,3.83
2017/01/21 0:00:00,499273,21,1666,20歳-24歳,福岡県,九州,レディース,シューズ,パンプス,【39】(24.5cm),71115,4.03
2014/11/13 0:00:00,591383,40,3582,40歳-44歳,福岡県,九州,レディース,シューズ,ショートブーツ,ブラック,299,4.16
2013/11/08 0:00:00,316711,28,1315,25歳-29歳,千葉県,関東,レディース,トップス,ニット・セーター,Uネックチュニック,23355,4.2
2016/04/10 0:00:00,615681,52,2297,50歳-54歳,北海道,北海道,レディース,スカート,マキシスカート,F（１）,467,4.5
2016/07/04 0:00:00,1211211,25,1881,25歳-29歳,大阪府,近畿,レディース,トップス,カーディガン,FREE,6410,3.45
2014/01/15 0:00:00,326478,27,2553,25歳-29歳,岡山県,中国,レディース,トップス,パーカ,ライトグレー,1032,3.57
2015/08/03 0:00:00,724398,35,2759,35歳-39歳,東京都,関東,レディース,ワンピース・ドレス,マキシワンピ,グレー,11966,4.33
2015/11/02 0:00:00,318730,29,1790,25歳-29歳,群馬県,関東,レディース,トップス,パーカ,ダークグレー,33358,3.65
2016/11/03 0:00:00,598404,34,2755,30歳-34歳,熊本県,九州,レディース,トップス,カットソー,ネイビー,121,0
2015/11/02 0:00:00,697226,19,3852,15歳-19歳,兵庫県,近畿,レディース,アウター,ミリタリージャケット,L,9144,4.34
2012/11/05 0:00:00,126200,21,3791,20歳-24歳,三重県,近畿,レディース,トップス,カーディガン,1.ベージュ,469,1.66
2016/10/05 0:00:00,113998,26,980,25歳-29歳,茨城県,関東,レディース,シューズ,ムートンブーツ,キャメル,54574,4.12
2013/11/14 0:00:00,346621,25,1353,25歳-29歳,福島県,東北,レディース,トップス,パーカ,ホワイト,1252,2.58
2015/10/19 0:00:00,418835,37,917,35歳-39歳,埼玉県,関東,キッズ,パンツ,レギンス,90,11883,4.32
2016/03/05 0:00:00,948074,29,2900,25歳-29歳,神奈川県,関東,レディース,アウター,ジャケット・ブルゾン,ブラック,1878,3.16
2014/11/08 0:00:00,406450,25,1690,25歳-29歳,東京都,関東,レディース,トップス,ニット・セーター,オフホワイト,6398,3.06
2016/03/28 0:00:00,522259,24,1723,20歳-24歳,大阪府,近畿,レディース,トップス,ブラウス,-,46824,3.76
2016/05/02 0:00:00,331770,26,599,25歳-29歳,福岡県,九州,レディース,スカート,ミニスカート,ホワイト,57752,3.95
2014/10/07 0:00:00,558305,31,3544,30歳-34歳,福岡県,九州,レディース,アウター,ジャケット・ブルゾン,S,1136,2.5
2016/02/17 0:00:00,933332,38,3558,35歳-39歳,埼玉県,関東,レディース,アウター,ベスト,M(001),3865,4.33
2014/03/09 0:00:00,427232,26,2392,25歳-29歳,沖縄県,九州,不明,,,フリーサイズ(007),528,4
2013/08/03 0:00:00,298013,29,1200,25歳-29歳,沖縄県,九州,レディース,トップス,Ｔシャツ,ホワイト,34,0
2013/09/27 0:00:00,324094,29,1713,25歳-29歳,茨城県,関東,レディース,トップス,カーディガン,M,1405,3.4
2015/07/06 0:00:00,740459,22,2460,20歳-24歳,北海道,北海道,レディース,スカート,ロングスカート,ブラック,8916,3.77
2014/08/03 0:00:00,414282,27,2007,25歳-29歳,広島県,中国,レディース,シューズ,パンプス,L(002),11987,4.13
2015/10/18 0:00:00,846113,21,3990,20歳-24歳,岐阜県,中部,メンズ,アウター,ジャケット・ブルゾン,ブラック,119,0
2016/07/27 0:00:00,1193591,30,2274,30歳-34歳,福岡県,九州,レディース,スーツ,セットアップ,m,856,3
2016/09/14 0:00:00,878240,42,2280,40歳-44歳,神奈川県,関東,レディース,トップス,ニット・セーター,ワンサイズ,252,5
2016/11/01 0:00:00,1269550,30,1791,30歳-34歳,大阪府,近畿,キッズ,パンツ,デニム,レッド,237,3
2016/08/03 0:00:00,1047140,24,999,20歳-24歳,京都府,近畿,レディース,トップス,Ｔシャツ,S,26086,3.9
2015/10/15 0:00:00,464176,32,100,30歳-34歳,千葉県,関東,レディース,水着,ビキニ,パール,0,0
2016/02/21 0:00:00,920260,21,1955,20歳-24歳,福岡県,九州,レディース,トップス,カーディガン,FREE,473,4
